athleteName,clubName
"Frank Gill (footballer, born 1948)",Manchester United F.C.
Frank Greenhoff,Manchester City F.C.
Frank Haydock,Manchester United F.C.
Frank Hesham,Manchester City F.C.
Frank Hodges (footballer),Manchester United F.C.
Frank McAvoy,Arsenal F.C.
Frank McCourt (footballer),Manchester City F.C.
Frank Simon,Manchester City F.C.
Frank Thorpe,Manchester United F.C.
"Frank Williams (footballer, born 1908)",Manchester United F.C.
Fraser Franks,Chelsea F.C.
Fred Chadwick,Manchester City F.C.
Fred Chaplin (footballer),Arsenal F.C.
Fred Cheesmur,Arsenal F.C.
"Fred Corbett (footballer, born 1909)",Manchester City F.C.
"Fred Davis (footballer, born 1871)",Arsenal F.C.
"Fred Hill (footballer, born 1940)",Manchester City F.C.
"Fred Howard (footballer, born 1893)",Manchester City F.C.
"Fred Jones (footballer, born 1867)",Manchester United F.C.
"Fred Jones (footballer, born 1898)",Arsenal F.C.
"Fred Jones (footballer, born 1938)",Arsenal F.C.
"Fred Parker (footballer, born 1893)",Manchester City F.C.
Fred Poland,Manchester United F.C.
Fred Rouse (footballer),Chelsea F.C.
"Fred Smith (footballer, born May 1926)",Manchester City F.C.
Fred Tilson,Manchester City F.C.
"Fred Williams (footballer, born 1873)",Manchester City F.C.
"Fred Williams (footballer, born 1873)",Manchester United F.C.
Fred Worrall,Manchester United F.C.
Freddy Capper,Manchester United F.C.
Frederick Calvert (footballer),Arsenal F.C.
"Richard Wilson (footballer, born 1960)",Chelsea F.C.
Tommy Baldwin,Arsenal F.C.
Tommy Baldwin,Chelsea F.C.
Tommy Baldwin,Manchester United F.C.
Alec Thurlow,Manchester City F.C.
"Alex Davidson (footballer, born 1920)",Chelsea F.C.
Alex Donaldson,Manchester City F.C.
"Alex Greenwood (footballer, born 1933)",Chelsea F.C.
"Alex Menzies (footballer, born 1882)",Manchester United F.C.
Alex Steel,Manchester City F.C.
"Alex Wilson (footballer, born 1908)",Arsenal F.C.
Alf Calverley,Arsenal F.C.
Alf Edge,Manchester City F.C.
Alf Edge,Manchester United F.C.
Alf Haynes,Arsenal F.C.
"Alf Wood (footballer, born 1945)",Manchester City F.C.
Alfred Keeling,Manchester City F.C.
Allan Craig,Chelsea F.C.
Peter Sutcliffe (footballer),Manchester United F.C.
Peter Turner (Scottish footballer),Arsenal F.C.
Phil Burrows (footballer),Manchester City F.C.
Phil Driver,Chelsea F.C.
Phil McKnight,Chelsea F.C.
"Phil Williams (footballer, born 1963)",Arsenal F.C.
Philip Priest,Chelsea F.C.
Philip Roberts,Arsenal F.C.
"Phil Smith (footballer, born 1885)",Chelsea F.C.
"Philip Smith (footballer, born 1885)",Chelsea F.C.
Pip Rippon,Arsenal F.C.
Jimmy Pegg,Manchester United F.C.
Keiller McCullough,Manchester City F.C.
Keith Stott,Manchester City F.C.
Ken Ayres,Manchester United F.C.
Ken Branagan,Manchester City F.C.
Ken Mulhearn,Manchester City F.C.
Ken Nicholas,Arsenal F.C.
Ken Oxford,Manchester City F.C.
"Ken Taylor (footballer, born 1936)",Manchester City F.C.
Ken Veysey,Arsenal F.C.
"Ederson (footballer, born 1993)",Manchester City F.C.
Paul Canoville,Chelsea F.C.
Tony Whelan,Manchester City F.C.
Tony Whelan,Manchester United F.C.
Aaron O'Driscoll,Manchester City F.C.
Mal Griffiths,Arsenal F.C.
Malcolm Comrie,Manchester City F.C.
Malcolm Webster (footballer),Arsenal F.C.
Albert Jackson (footballer),Manchester United F.C.
"Charlie Wakefield (footballer, born 1998)",Chelsea F.C.
"John Russell (footballer, born 1872)",Arsenal F.C.
Clifford Coupland,Manchester City F.C.
"Frank Lloyd (footballer, born 1876)",Arsenal F.C.
Gary Donnellan,Chelsea F.C.
Isaac Owens,Arsenal F.C.
Joe Fletcher (footballer),Manchester City F.C.
Joe McIntyre (footballer),Manchester United F.C.
Leo Donnellan,Chelsea F.C.
Robert Isaac (footballer),Chelsea F.C.
Vic Doddsworth,Manchester United F.C.
Vic Hooks,Manchester United F.C.
